Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cameroon,20590666,21119065,21659488,22211166,22773014,23344179,23924407,24513689,25111719,25718212
Central African Republic,4444973,4530903,4619500,4710678,4804316,4900274,4998493,5098826,5200921,5304347
Chad,11896380,12298512,12715465,13145788,13587053,14037472,14496739,14965482,15443905,15932433
"Congo, Dem. Rep.",65938712,68087376,70291160,72552861,74877030,77266814,79722624,82242685,84825354,87468225
"Congo, Rep.",4066078,4177435,4286188,4394334,4504962,4620330,4740992,4866243,4995596,5128171
Equatorial Guinea,728710,750918,773729,797082,820885,845060,869587,894464,919654,945120
Gabon,1541936,1577298,1613489,1650351,1687673,1725292,1763142,1801232,1839575,1878212
Sao Tome and Principe,170880,174646,178484,182386,186342,190344,194390,198481,202617,206802
Burundi,9461117,9790151,10124572,10465959,10816860,11178921,11552561,11936481,12328560,12725870
Comoros,698695,715972,733661,751697,769991,788474,807118,825920,844866,863949
Djibouti,830802,841802,853069,864554,876174,887861,899598,911382,923181,934955
Eritrea,4689664,4789568,4892233,4998824,5110444,5227791,5351680,5481906,5616801,5753934
Ethiopia,87561814,89858696,92191211,94558374,96958732,99390750,101853268,104344901,106863442,109406328
Kenya,40328313,41419954,42542978,43692881,44863583,46050302,47251449,48466928,49695319,50935499
Rwanda,10293669,10556429,10817350,11078095,11341544,11609666,11882766,12159586,12438723,12718198
Seychelles,93081,93810,94524,95215,95868,96471,97026,97539,98013,98447
Somalia,9581714,9806670,10033630,10268157,10517569,10787104,11079013,11391962,11723108,12067860
South Sudan,10056475,10510122,10980623,11453810,11911184,12339812,12733427,13096190,13438609,13776683
Sudan,36114885,36918193,37712420,38515095,39350274,40234882,41175541,42166323,43196092,44247721
Tanzania,45648525,47122998,48645709,50213457,51822621,53470420,55155473,56877529,58636512,60432917
Uganda,33149417,34260342,35400620,36573387,37782971,39032383,40322768,41652938,43020681,44422662
Algeria,36036159,36717132,37439427,38186135,38934334,39666519,40375954,41063753,41729942,42377306
Egypt,82040994,83787634,85660902,87613909,89579670,91508084,93383574,95215102,97006920,98771387
Libya,6265697,6288652,6283403,6265987,6258984,6278438,6330159,6408742,6505278,6605830
Mauritania,3591400,3683221,3777067,3872684,3969625,4067564,4166463,4266448,4367533,4469760
Morocco,32107739,32531964,32984190,33452686,33921203,34377511,34817065,35241418,35651885,36052026
Tunisia,10639194,10758870,10881450,11005706,11130154,11253554,11375220,11494760,11611602,11725253
Angola,21219954,21942296,22685632,23448202,24227524,25021974,25830958,26655513,27497645,28360201
Botswana,2047831,2089706,2132822,2176510,2219937,2262485,2303820,2343981,2383184,2421835
Lesotho,2010586,2032950,2057331,2083061,2109197,2135022,2160309,2185159,2209595,2233740
Madagascar,21079532,21678867,22293720,22924557,23571713,24235390,24915822,25612972,26326352,27055233
Malawi,14769824,15226813,15700436,16190126,16695253,17215232,17749826,18298679,18860963,19435717
Mauritius,1247951,1253089,1258335,1263560,1268567,1273212,1277459,1281353,1284928,1288249
Mozambique,24321457,25016921,25732928,26467180,27216276,27977863,28751362,29537914,30338988,31156777
Namibia,2193643,2240161,2291645,2346592,2402858,2458830,2513981,2568569,2622723,2676831
South Africa,51621594,52237272,52837274,53416609,53969054,54490406,54978907,55436360,55866711,56275858
Swaziland,1193148,1212458,1231694,1250641,1269112,1286970,1304063,1320356,1335999,1351240
Zambia,13917439,14343526,14786581,15246086,15721343,16211767,16717332,17237931,17772835,18321152
Zimbabwe,13973897,14255592,14565482,14898092,15245855,15602751,15966810,16337760,16713345,17091504
Benin,9509798,9779391,10049792,10322232,10598482,10879829,11166658,11458611,11755337,12056204
Burkina Faso,15632066,16106851,16590813,17084554,17589198,18105570,18633725,19173322,19724353,20286765
Cape Verde,490379,495159,500870,507258,513906,520502,526993,533468,539924,546380
Cote d'Ivoire,20131707,20604172,21102641,21622490,22157107,22701556,23254184,23815886,24387362,24970213
Gambia,1693002,1749099,1807108,1866878,1928201,1990924,2054986,2120418,2187265,2255608
Ghana,24317734,24928503,25544565,26164432,26786598,27409893,28033375,28656723,29280235,29904632
Guinea,11012406,11316351,11628767,11948726,12275527,12608590,12947122,13290659,13639439,13994033
Guinea-Bissau,1634196,1673509,1714620,1757138,1800513,1844325,1888429,1932871,1977645,2022798
Liberia,3957990,4079574,4190155,4293692,4396554,4503438,4615222,4730437,4848701,4969067
Mali,15167286,15639115,16112333,16592097,17086022,17599694,18134835,18689966,19263634,19853223
Niger,16291990,16946485,17635782,18358863,19113728,19899120,20715285,21563607,22445308,23361971
Nigeria,159424742,163770669,168240403,172816517,177475986,182201962,186987563,191835936,196752840,201748560
Senegal,12956791,13357003,13780108,14221041,14672557,15129273,15589485,16054275,16524429,17001706
Sierra Leone,5775902,5908908,6043157,6178859,6315627,6453184,6592102,6732899,6875056,7017749
Togo,6390851,6566179,6745581,6928719,7115163,7304578,7496833,7691915,7889759,8090336
